text,category
TRF FROM  Indiaforensic SERVICES,Other
TRF FROM  Indiaforensic SERVICES,Other
FDRL/INTERNAL FUND TRANSFE,Other
TRF FRM  Indiaforensic SERVICES,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL01071,Other
INDO GIBL Indiaforensic STL02071,Other
INDO GIBL Indiaforensic STL03071,Other
INDO GIBL Indiaforensic STL04071,Other
INDO GIBL Indiaforensic STL05071,Other
INDO GIBL Indiaforensic STL06071,Other
INDO GIBL Indiaforensic STL07071,Other
INDO GIBL Indiaforensic STL10071,Other
INDO GIBL Indiaforensic STL11071,Other
INDO GIBL Indiaforensic STL12071,Other
INDO GIBL Indiaforensic STL13071,Other
INDO GIBL Indiaforensic STL14071,Other
INDO GIBL Indiaforensic STL15071,Other
INDO GIBL Indiaforensic STL16071,Other
INDO GIBL Indiaforensic STL17071,Other
INDO GIBL Indiaforensic STL18071,Other
INDO GIBL Indiaforensic STL19071,Other
INDO GIBL Indiaforensic STL20071,Other
INDO GIBL Indiaforensic STL21071,Other
INDO GIBL Indiaforensic STL22071,Other
INDO GIBL Indiaforensic STL24071,Other
INDO GIBL Indiaforensic STL25071,Other
INDO GIBL Indiaforensic STL26071,Other
INDO GIBL Indiaforensic STL27071,Other
INDO GIBL Indiaforensic STL28071,Other
INDO GIBL Indiaforensic STL30071,Other
INDO GIBL Indiaforensic STL31071,Other
INDO GIBL Indiaforensic STL01081,Other
INDO GIBL Indiaforensic STL02081,Other
INDO GIBL Indiaforensic STL03081,Other
INDO GIBL Indiaforensic STL04081,Other
INDO GIBL Indiaforensic STL05081,Other
INDO GIBL Indiaforensic STL06081,Other
INDO GIBL Indiaforensic STL07081,Other
INDO GIBL Indiaforensic STL08081,Other
INDO GIBL Indiaforensic STL09081,Other
INDO GIBL Indiaforensic STL10081,Other
INDO GIBL Indiaforensic STL11081,Other
INDO GIBL Indiaforensic STL12081,Other
INDO GIBL Indiaforensic STL13081,Other
INDO GIBL Indiaforensic STL14081,Other
INDO GIBL Indiaforensic STL16081,Other
INDO GIBL Indiaforensic STL17081,Other
INDO GIBL Indiaforensic STL18081,Other
INDO GIBL Indiaforensic STL19081,Other
INDO GIBL Indiaforensic STL20081,Other
INDO GIBL Indiaforensic STL21081,Other
INDO GIBL Indiaforensic STL22081,Other
INDO GIBL Indiaforensic STL23081,Other
INDO GIBL Indiaforensic STL24081,Other
INDO GIBL Indiaforensic STL25081,Other
INDO GIBL Indiaforensic STL26081,Other
INDO GIBL Indiaforensic STL28081,Other
INDO GIBL Indiaforensic STL29081,Other
INDO GIBL Indiaforensic STL30081,Other
INDO GIBL Indiaforensic STL31081,Other
INDO GIBL Indiaforensic STL01091,Other
INDO GIBL Indiaforensic STL02091,Other
INDO GIBL Indiaforensic STL03091,Other
INDO GIBL Indiaforensic STL04091,Other
INDO GIBL Indiaforensic STL05091,Other
INDO GIBL Indiaforensic STL06091,Other
INDO GIBL Indiaforensic STL07091,Other
INDO GIBL Indiaforensic STL08091,Other
INDO GIBL Indiaforensic STL09091,Other
INDO GIBL Indiaforensic STL10091,Other
INDO GIBL Indiaforensic STL11091,Other
INDO GIBL Indiaforensic STL12091,Other
INDO GIBL Indiaforensic STL13091,Other
INDO GIBL Indiaforensic STL14091,Other
INDO GIBL Indiaforensic STL15091,Other
INDO GIBL Indiaforensic STL16091,Other
INDO GIBL Indiaforensic STL17091,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL18091,Other
INDO GIBL Indiaforensic STL19091,Other
INDO GIBL Indiaforensic STL20091,Other
INDO GIBL Indiaforensic STL21091,Other
INDO GIBL Indiaforensic STL22091,Other
INDO GIBL Indiaforensic STL23091,Other
INDO GIBL Indiaforensic STL24091,Other
INDO GIBL Indiaforensic STL25091,Other
INDO GIBL Indiaforensic STL26091,Other
INDO GIBL Indiaforensic STL27091,Other
INDO GIBL Indiaforensic STL28091,Other
INDO GIBL Indiaforensic STL29091,Other
INDO GIBL Indiaforensic STL30091,Other
INDO GIBL Indiaforensic STL03101,Other
INDO GIBL Indiaforensic STL04101,Other
INDO GIBL Indiaforensic STL05101,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL06101,Other
INDO GIBL Indiaforensic STL07101,Other
INDO GIBL Indiaforensic STL08101,Other
INDO GIBL Indiaforensic STL09101,Other
INDO GIBL Indiaforensic STL10101,Other
INDO GIBL Indiaforensic STL11101,Other
INDO GIBL Indiaforensic STL12101,Other
INDO GIBL Indiaforensic STL13101,Other
INDO GIBL Indiaforensic STL14101,Other
INDO GIBL Indiaforensic STL17101,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL18101,Other
INDO GIBL Indiaforensic STL19101,Other
INDO GIBL Indiaforensic STL20101,Other
INDO GIBL Indiaforensic STL21101,Other
INDO GIBL Indiaforensic STL22101,Other
INDO GIBL Indiaforensic STL23101,Other
INDO GIBL Indiaforensic STL24101,Other
INDO GIBL Indiaforensic STL25101,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL26101,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL27101,Other
INDO GIBL Indiaforensic STL28101,Other
INDO GIBL Indiaforensic STL30101,Other
INDO GIBL Indiaforensic STL31101,Other
INDO GIBL Indiaforensic STL01111,Other
INDO GIBL Indiaforensic STL02111,Other
INDO GIBL Indiaforensic STL03111,Other
INDO GIBL Indiaforensic STL04111,Other
INDO GIBL Indiaforensic STL05111,Other
INDO GIBL Indiaforensic STL06111,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL07111,Other
INDO GIBL Indiaforensic STL08111,Other
INDO GIBL Indiaforensic STL09111,Other
INDO GIBL Indiaforensic STL10111,Other
INDO GIBL Indiaforensic STL11111,Other
INDO GIBL Indiaforensic STL12111,Other
INDO GIBL Indiaforensic STL13111,Other
INDO GIBL Indiaforensic STL14111,Other
FDRL/INTERNAL FUND TRANSFE,Other
FDRL/INTERNAL FUND TRANSFE,Other
INDO GIBL Indiaforensic STL16111,Other
INDO GIBL Indiaforensic STL15111,Other
INDO GIBL Indiaforensic STL17111,Other
INDO GIBL Indiaforensic STL18111,Other
INDO GIBL Indiaforensic STL19111,Other
FDRL/INTERNAL FUND TRANSFE,Other
