text,label
movie tickets,Educaton
books,Freelance
electricity bill,Fod
uber ride,Education
grocery shopping,Utilties
gym membership,Others
uber ride,Utility
electricity bill,Rentt
restaurant dinner,Food
atm withdrawal,Rent
misc,Food
doctor consultation,Travel
books,Health
gym membership,Entertainment
books,Education
uber ride,Education
coffee,Investment
shopping,Food
internet bill,Travel
electricity bill,Food
online course,Health
train ticket,Rent
movie tickets,Rent
gym membership,Helth
movie tickets,Travel
atm withdrawal,Foods
books,Health
movie tickets,Education
atm withdrawal,Rent
uber ride,Entertainment
doctor consultation,Rent
medicine,Utlities
internet bill,Others
grocery shopping,Savings
emi payment,Utilties
coffee,Salary
doctor consultation,Edu
train ticket,Foodd
grocery shopping,Foods
shopping,Travel
internet bill,Rentt
restaurant dinner,Education
petrol,Traval
gym membership,Freelance
shopping,Foods
shopping,Educaton
medicine,Food
petrol,Health
train ticket,Rentt
electricity bill,Bonus
monthly rent payment,Utility
emi payment,Health
books,Rent
fixed deposit,Travel
lunch,Traval
internet bill,Entertainment
atm withdrawal,Investment
emi payment,Rnt
misc,Travel
fixed deposit,Food
petrol,Foods
grocery shopping,Saving
books,Entrtnmnt
medicine,Travel
doctor consultation,Foodd
shopping,Health
coffee,Freelance
online course,Bonus
coffee,Education
electricity bill,Helth
fixed deposit,Entertain
online course,Travel
grocery shopping,Travel
lunch,Bonus
doctor consultation,Utility
gym membership,Travel
grocery shopping,Entertainment
petrol,Food
lunch,Education
misc,Traval
online course,Rent
medicine,Rnt
lunch,Travel
petrol,Rent
online course,Investment
online course,Salary
online course,Health
online course,Rentt
medicine,Investment
medicine,Food
atm withdrawal,Food
misc,Foods
lunch,Rent
atm withdrawal,Misc
lunch,Others
internet bill,Entertain
coffee,Food
medicine,Savings
restaurant dinner,Foodd
atm withdrawal,Utlities
atm withdrawal,Utlities
uber ride,Utility
train ticket,Travel
atm withdrawal,Utility
shopping,Food
electricity bill,Rent
restaurant dinner,Traval
doctor consultation,Utilities
gym membership,Utility
restaurant dinner,Rent
electricity bill,Freelance
internet bill,Food
petrol,Food
gym membership,Bonus
emi payment,Salary
fixed deposit,Education
monthly rent payment,Entertainment
monthly rent payment,Helth
train ticket,Foods
petrol,Education
grocery shopping,Travel
fixed deposit,Foods
electricity bill,Freelance
misc,Utilties
shopping,Investment
monthly rent payment,Food
emi payment,Entertainment
monthly rent payment,Rnt
doctor consultation,Rent
books,Rentt
emi payment,Food
lunch,Bonus
grocery shopping,Education
lunch,Travel
monthly rent payment,Rent
uber ride,Entertainment
emi payment,Foods
coffee,Entrtnmnt
doctor consultation,Rent
doctor consultation,Travel
coffee,Rent
atm withdrawal,Travel
fixed deposit,Rent
medicine,Entertainment
coffee,Food
grocery shopping,Rent
fixed deposit,Others
atm withdrawal,Health
fixed deposit,Rent
train ticket,Travel
uber ride,Rentt
books,Foodd
restaurant dinner,Savings
online course,Freelance
monthly rent payment,Utilities
gym membership,Food
doctor consultation,Entertainment
monthly rent payment,Entertainment
atm withdrawal,Utilities
train ticket,Rent
shopping,Investment
coffee,Food
uber ride,Food
electricity bill,Rentt
restaurant dinner,Food
lunch,Food
uber ride,Food
internet bill,Entertainment
restaurant dinner,Others
fixed deposit,Travel
restaurant dinner,Educaton
shopping,Entertainment
internet bill,Health
petrol,Entrtnmnt
lunch,Travel
petrol,Entertain
lunch,Savings
emi payment,Utlities
atm withdrawal,Travel
doctor consultation,Others
restaurant dinner,Rent
shopping,Others
uber ride,Education
online course,Entertainment
gym membership,Travel
atm withdrawal,Foodd
petrol,Rent
atm withdrawal,Travl
gym membership,Savings
medicine,Entertain
train ticket,Saving
restaurant dinner,Travel
movie tickets,Health
doctor consultation,Rent
monthly rent payment,Food
coffee,Foods
medicine,Travel
lunch,Rent
misc,Salary
shopping,Bonus
coffee,Fod
movie tickets,Freelance
restaurant dinner,Travel
fixed deposit,Food
emi payment,Bonus
books,Others
emi payment,Traval
emi payment,Food
doctor consultation,Rnt
internet bill,Health
atm withdrawal,Health
gym membership,Food
movie tickets,Rent
fixed deposit,Rnt
coffee,Rent
atm withdrawal,Rent
internet bill,Food
misc,Rent
electricity bill,Travel
fixed deposit,Utilities
internet bill,Investment
petrol,Rent
uber ride,Travl
uber ride,Entertainment
grocery shopping,Travl
electricity bill,Utilities
internet bill,Travel
misc,Helth
emi payment,Traval
train ticket,Utilities
medicine,Rentt
misc,Entertainment
fixed deposit,Entertainment
gym membership,Rnt
atm withdrawal,Rent
fixed deposit,Helth
grocery shopping,Foodd
gym membership,Food
gym membership,Travel
movie tickets,Others
fixed deposit,Foodd
emi payment,Entertainment
train ticket,Travel
movie tickets,Utility
